ticker,date,open,high,low,close
BVC,2025-12-24,1.25,1.38,1.09,1.2
BVC,2025-12-26,1.25,1.27,1.095,1.2
BVC,2025-12-29,1.05,1.145,1.0,1.06
BVC,2025-12-30,1.11,1.24,1.1,1.19
BVC,2025-12-31,1.17,1.19,0.9917,1.14
BVC,2026-01-02,1.21,1.4,1.05,1.4
BVC,2026-01-05,13.8999,15.00311,11.1701,14.7499
BVC,2026-01-06,12.39,13.0,11.0,11.57
BVC,2026-01-07,10.99,11.1,10.0,10.37
BVC,2026-01-08,10.2,10.96,10.12,10.93
BVC,2026-01-09,10.6,10.97,10.375,10.94
BVC,2026-01-12,10.46,11.45,10.41,11.0101
BVC,2026-01-13,10.8,11.58,10.76,11.24
BVC,2026-01-14,10.61,10.78,9.78,10.48
BVC,2026-01-15,10.53,10.78,10.3,10.655
BVC,2026-01-16,10.001,10.96,10.001,10.31
BVC,2026-01-20,10.0,10.35,9.6509,10.28
BVC,2026-01-21,9.85,10.263,9.84,10.263
BVC,2026-01-22,9.805,9.85,9.49,9.49
BVC,2026-01-23,9.688,9.688,9.0,9.0
BVC,2026-01-26,8.68,9.47,8.68,8.81
BVC,2026-01-27,9.02,9.22,8.69,8.99
BVC,2026-01-28,8.34,9.17,8.34,9.17
BVC,2026-01-29,8.39,9.5,8.39,9.5
BVC,2026-01-30,8.11,9.0,8.11,8.78
BVC,2026-02-02,8.78,9.02,8.71,8.96
BVC,2026-02-03,8.69,9.05,8.69,8.99
BVC,2026-02-04,8.95,8.95,8.2801,8.88
BVC,2026-02-05,8.9,8.9,8.44,8.44
BVC,2026-02-06,8.69,8.69,8.42,8.42
BVC,2026-02-09,8.08,8.19,8.08,8.0801
BVC,2026-02-10,7.98,7.98,7.98,7.98
BVC,2026-02-12,7.75,7.75,7.75,7.75
BVC,2026-02-13,7.2401,7.34,7.2401,7.3
BVC,2026-02-17,7.76,7.76,7.3,7.3
BVC,2026-02-18,7.56,7.56,7.56,7.56
BVC,2026-02-19,7.09,7.0901,7.09,7.0901
BVC,2026-02-20,7.51,7.52,7.51,7.52
BVC,2026-02-23,7.2,7.2001,7.2,7.2001
BVC,2026-02-24,6.7,7.17,6.7,6.92
BVC,2026-02-25,6.44,6.85,6.44,6.85
BVC,2026-02-27,6.4,7.0295,6.2,7.0295
BVC,2026-03-02,6.68,6.7,6.58,6.7
BVC,2026-03-03,6.9236,6.95,6.7,6.7
BVC,2026-03-04,6.7,7.1,6.59,7.0
BVC,2026-03-05,7.1,8.27,7.1,8.26
BVC,2026-03-06,7.5105,7.5105,7.5105,7.5105
BVC,2026-03-09,7.87,7.87,7.645,7.8699
BVC,2026-03-10,7.9,8.22,7.9,8.15
BVC,2026-03-11,8.12,8.35,8.12,8.35
BVC,2026-03-12,7.8901,7.8901,7.8901,7.8901
