ticker,date,open,high,low,close
HERE,2025-11-12,5.9,6.06,5.45,5.51
HERE,2025-11-13,5.48,5.85,5.47,5.63
HERE,2025-11-14,5.5,5.6598,5.36,5.46
HERE,2025-11-17,5.4,5.54,5.21,5.26
HERE,2025-11-18,5.18,5.39,5.08,5.33
HERE,2025-11-19,5.25,5.27,4.95,5.01
HERE,2025-11-20,5.05,5.39,4.8,4.9
HERE,2025-11-21,4.8,4.95,4.5,4.73
HERE,2025-11-24,4.9,5.21,4.715,5.145
HERE,2025-11-25,5.22,5.5644,5.18,5.41
HERE,2025-11-26,5.41,5.62,5.39,5.39
HERE,2025-11-28,5.39,5.48,5.03,5.04
HERE,2025-12-01,5.1,5.26,4.71,4.76
HERE,2025-12-02,5.1,5.19,4.5,4.58
HERE,2025-12-03,4.58,4.6,4.38,4.565
HERE,2025-12-04,4.64,4.99,4.47,4.96
HERE,2025-12-05,5.01,5.73,5.01,5.25
HERE,2025-12-08,5.49,5.49,5.095,5.17
HERE,2025-12-09,5.07,5.35,4.965,5.3
HERE,2025-12-10,5.31,5.31,5.125,5.17
HERE,2025-12-11,5.15,5.19,5.0408,5.15
HERE,2025-12-12,5.2,5.275,5.07,5.09
HERE,2025-12-15,5.032,5.175,5.02,5.16
HERE,2025-12-16,5.05,5.2,5.05,5.14
HERE,2025-12-17,5.101,5.25,5.06,5.07
HERE,2025-12-18,5.03,5.215,5.03,5.11
HERE,2025-12-19,5.05,5.2,5.05,5.11
HERE,2025-12-22,5.13,5.53,5.13,5.43
HERE,2025-12-23,5.4,5.43,5.31,5.33
HERE,2025-12-24,5.32,5.41,5.23,5.26
HERE,2025-12-26,5.365,5.8,5.27,5.37
HERE,2025-12-29,5.28,5.55,5.28,5.4
HERE,2025-12-30,5.34,5.4,4.87,5.11
HERE,2025-12-31,5.12,5.16,5.0216,5.11
HERE,2026-01-02,5.01,5.23,5.01,5.11
HERE,2026-01-05,5.1,5.23,5.1,5.13
HERE,2026-01-06,5.19,5.25,5.09,5.2
HERE,2026-01-07,5.04,5.04,4.88,5.04
HERE,2026-01-08,5.05,5.09,4.93,4.96
HERE,2026-01-09,4.96,5.125,4.92,5.12
HERE,2026-01-12,5.12,5.15,4.74,5.04
HERE,2026-01-13,4.95,5.02,4.91,4.91
HERE,2026-01-14,4.89,5.12,4.8511,5.09
HERE,2026-01-15,5.06,5.14,5.0,5.04
HERE,2026-01-16,5.09,5.1,4.92,4.95
HERE,2026-01-20,4.91,4.985,4.73,4.79
HERE,2026-01-21,4.925,5.05,4.78,5.02
HERE,2026-01-22,5.02,5.12,4.72,4.74
HERE,2026-01-23,4.8,4.98,4.72,4.85
HERE,2026-01-26,4.885,5.17,4.885,4.9
HERE,2026-01-27,4.86,5.05,4.73,4.78
HERE,2026-01-28,4.78,4.9868,4.6,4.74
HERE,2026-01-29,4.74,4.76,4.58,4.7
HERE,2026-01-30,4.795,4.9,4.71,4.86
HERE,2026-02-02,4.89,4.94,4.8,4.89
HERE,2026-02-03,4.87,4.88,4.75,4.8
HERE,2026-02-04,4.8,4.9,4.69,4.72
HERE,2026-02-05,4.72,4.72,4.56,4.58
HERE,2026-02-06,4.65,4.8,4.59,4.68
HERE,2026-02-09,4.64,4.72,4.58,4.66
HERE,2026-02-10,4.65,4.685,4.305,4.31
HERE,2026-02-11,4.35,4.41,3.82,3.96
HERE,2026-02-12,3.985,4.1,3.8501,4.025
HERE,2026-02-13,4.0,4.1,3.94,4.08
HERE,2026-02-17,4.08,4.08,3.93,4.05
HERE,2026-02-18,3.9953,4.13,3.9953,4.1047
HERE,2026-02-19,4.02,4.11,4.0,4.105
HERE,2026-02-20,4.1,4.335,3.98,4.2
HERE,2026-02-23,4.22,4.25,4.06,4.18
HERE,2026-02-24,4.18,4.6,4.18,4.55
HERE,2026-02-25,4.55,4.83,4.55,4.805
HERE,2026-02-26,4.71,4.77,4.71,4.72
HERE,2026-02-27,4.62,4.7,4.62,4.69
HERE,2026-03-02,4.56,4.68,4.43,4.675
HERE,2026-03-03,4.55,4.65,4.28,4.31
HERE,2026-03-04,4.29,4.47,4.29,4.36
HERE,2026-03-05,4.29,4.355,4.17,4.28
HERE,2026-03-06,4.21,4.54,4.2,4.52
HERE,2026-03-09,4.39,4.44,4.27,4.44
HERE,2026-03-10,4.41,4.55,4.41,4.53
HERE,2026-03-11,4.45,4.58,4.36,4.46
HERE,2026-03-12,4.36,4.4,3.73,3.735
