ticker,date,open,high,low,close
STUB,2025-09-17,27.89,27.89,22.0,22.0
STUB,2025-09-18,21.73,21.8,20.0,20.5
STUB,2025-09-19,20.43,20.5648,18.46,18.46
STUB,2025-09-22,18.44,18.5836,17.355,17.41
STUB,2025-09-23,17.525,18.97,17.0,18.8
STUB,2025-09-24,18.625,20.3,17.38,17.42
STUB,2025-09-25,17.365,18.08,16.53,17.89
STUB,2025-09-26,17.75,17.75,16.82,16.86
STUB,2025-09-29,16.94,17.32,16.89,17.18
STUB,2025-09-30,17.15,17.46,16.75,16.84
STUB,2025-10-01,16.8,17.25,16.76,17.11
STUB,2025-10-02,17.1,17.1307,16.25,16.6
STUB,2025-10-03,16.53,17.28,16.11,16.95
STUB,2025-10-06,16.9783,17.08,16.56,16.92
STUB,2025-10-07,16.91,17.8,16.51,17.37
STUB,2025-10-08,17.6,20.17,17.6,19.72
STUB,2025-10-09,19.5,19.58,18.68,19.06
STUB,2025-10-10,19.22,20.15,18.78,18.89
STUB,2025-10-13,20.0,20.14,19.46,19.61
STUB,2025-10-14,19.5,19.5,18.08,18.68
STUB,2025-10-15,18.91,19.8,18.16,19.25
STUB,2025-10-16,19.555,20.1,17.6,17.84
STUB,2025-10-17,17.82,17.92,17.11,17.15
STUB,2025-10-20,17.32,18.96,17.2,18.95
STUB,2025-10-21,18.5,19.305,18.1,19.04
STUB,2025-10-22,18.82,20.0,18.82,19.62
STUB,2025-10-23,19.61,19.675,19.01,19.15
STUB,2025-10-24,19.44,21.49,19.2433,20.13
STUB,2025-10-27,20.395,20.54,19.3,20.0
STUB,2025-10-28,20.0,20.07,19.2901,19.62
STUB,2025-10-29,19.5738,20.2729,19.32,19.6
STUB,2025-10-30,19.495,19.5514,18.12,18.85
STUB,2025-10-31,18.98,19.5,18.6,19.15
STUB,2025-11-03,19.19,19.19,17.6101,17.92
STUB,2025-11-04,17.8,18.31,16.995,17.12
STUB,2025-11-05,17.18,18.15,16.99,18.13
STUB,2025-11-06,18.09,18.61,17.8174,18.23
STUB,2025-11-07,17.774,19.87,17.774,19.44
STUB,2025-11-10,19.5844,19.74,18.77,19.17
STUB,2025-11-11,19.08,19.6,18.93,19.25
STUB,2025-11-12,19.33,19.86,18.81,19.04
STUB,2025-11-13,18.9,19.39,18.26,18.82
STUB,2025-11-14,13.44,15.0,12.905,14.87
STUB,2025-11-17,14.82,14.9428,12.5,12.82
STUB,2025-11-18,12.85,12.85,11.96,12.06
STUB,2025-11-19,12.0,12.15,10.845,10.9
STUB,2025-11-20,11.08,11.25,10.3,10.31
STUB,2025-11-21,10.32,10.84,9.83,10.83
STUB,2025-11-24,10.76,12.03,10.7342,12.01
STUB,2025-11-25,12.06,12.89,11.91,12.73
STUB,2025-11-26,12.74,12.85,11.77,11.86
STUB,2025-11-28,11.85,11.9,11.41,11.73
STUB,2025-12-01,11.55,11.5664,10.875,11.08
STUB,2025-12-02,11.07,11.55,10.75,11.16
STUB,2025-12-03,11.17,11.2193,10.77,10.78
STUB,2025-12-04,10.78,12.08,10.76,11.93
STUB,2025-12-05,11.855,12.45,11.85,12.42
STUB,2025-12-08,12.555,12.8,12.0,12.68
STUB,2025-12-09,12.57,14.0,12.51,13.09
STUB,2025-12-10,13.1641,14.01,13.0,13.81
STUB,2025-12-11,13.655,14.81,13.655,14.52
STUB,2025-12-12,14.59,14.7,13.31,13.95
STUB,2025-12-15,14.08,14.92,13.9556,14.06
STUB,2025-12-16,13.475,13.52,12.76,13.27
STUB,2025-12-17,13.74,14.24,13.6125,13.99
STUB,2025-12-18,14.05,14.99,13.95,14.0
STUB,2025-12-19,14.05,14.32,13.47,13.77
STUB,2025-12-22,13.8,13.8,13.18,13.65
STUB,2025-12-23,13.57,13.94,13.4263,13.79
STUB,2025-12-24,13.62,13.72,12.9,13.58
STUB,2025-12-26,13.62,13.62,13.07,13.28
STUB,2025-12-29,13.12,13.49,13.0746,13.38
STUB,2025-12-30,13.315,13.97,13.2904,13.92
STUB,2025-12-31,13.96,14.57,13.49,13.53
STUB,2026-01-02,13.81,14.68,13.6602,14.29
STUB,2026-01-05,14.3937,14.4,13.11,13.45
STUB,2026-01-06,13.4565,13.6599,12.27,12.86
STUB,2026-01-07,12.86,12.88,12.42,12.56
STUB,2026-01-08,12.705,13.371,12.56,13.1
STUB,2026-01-09,12.77,12.77,12.57,12.77
STUB,2026-01-12,12.73,12.77,12.15,12.73
STUB,2026-01-13,12.78,13.62,12.65,13.58
STUB,2026-01-14,13.49,13.85,13.24,13.65
STUB,2026-01-15,13.67,16.63,13.575,15.2
STUB,2026-01-16,15.04,16.3,15.04,16.0
STUB,2026-01-20,15.18,15.76,14.48,14.52
STUB,2026-01-21,14.6,15.155,14.02,14.81
STUB,2026-01-22,14.92,15.32,14.69,15.3
