ticker,date,open,high,low,close
TKO,2023-09-12,102.0,103.98,100.0,103.05
TKO,2023-09-13,104.5,104.5,100.0,101.0
TKO,2023-09-14,101.06,102.98,100.08,100.76
TKO,2023-09-15,101.28,102.3,98.65,100.11
TKO,2023-09-18,100.51,104.46,100.5,104.13
TKO,2023-09-19,103.96,106.16,102.98,105.5
TKO,2023-09-20,105.71,105.94,104.24,104.73
TKO,2023-09-21,96.16,96.16,84.83,85.97
TKO,2023-09-22,86.43,86.94,83.08,83.79
TKO,2023-09-25,83.43,83.87,81.75,82.17
TKO,2023-09-26,81.49,82.05,80.43,81.06
TKO,2023-09-27,81.33,82.06,80.535,80.82
TKO,2023-09-28,80.71,82.5275,80.43,82.47
TKO,2023-09-29,82.53,84.95,82.33,84.06
TKO,2023-10-02,84.35,85.27,82.8701,85.0
TKO,2023-10-03,84.5,85.58,84.1,84.49
TKO,2023-10-04,84.23,84.23,82.0401,83.43
TKO,2023-10-05,83.37,85.1,82.02,82.17
TKO,2023-10-06,81.99,82.71,80.95,81.99
TKO,2023-10-09,81.42,83.504,81.42,82.92
TKO,2023-10-10,82.96,83.25,82.02,82.06
TKO,2023-10-11,81.99,81.99,79.13,80.23
TKO,2023-10-12,80.09,80.78,79.41,79.93
TKO,2023-10-13,80.72,80.74,77.61,77.63
TKO,2023-10-16,78.23,80.75,78.23,80.3
TKO,2023-10-17,79.6,80.91,79.34,79.87
TKO,2023-10-18,79.0,80.05,76.82,76.87
TKO,2023-10-19,76.74,78.0,76.31,76.57
TKO,2023-10-20,76.6,78.04,76.31,77.97
TKO,2023-10-23,77.2,79.73,77.07,78.84
TKO,2023-10-24,79.77,80.53,78.47,80.5
TKO,2023-10-25,78.73,80.15,78.01,78.64
TKO,2023-10-26,79.17,82.5,78.62,81.11
TKO,2023-10-27,82.54,85.4,81.31,81.97
TKO,2023-10-30,82.42,83.51,81.55,82.91
TKO,2023-10-31,82.82,83.17,81.5,81.98
TKO,2023-11-01,82.04,83.0,81.42,82.39
TKO,2023-11-02,83.11,84.29,82.335,83.46
TKO,2023-11-03,84.98,85.45,83.93,84.93
TKO,2023-11-06,85.61,85.61,84.03,84.61
TKO,2023-11-07,84.41,86.55,84.06,85.66
TKO,2023-11-08,86.675,87.67,84.27,84.6
TKO,2023-11-09,85.55,86.1,84.63,84.9
TKO,2023-11-10,77.24,79.78,77.0,79.26
TKO,2023-11-13,78.78,80.35,78.38,79.97
TKO,2023-11-14,81.0,81.0,79.04,79.9
TKO,2023-11-15,79.3,79.39,76.26,78.05
TKO,2023-11-16,78.04,78.52,77.55,78.12
TKO,2023-11-17,78.29,78.6,77.103,78.32
TKO,2023-11-20,78.35,78.98,76.5,77.86
TKO,2023-11-21,77.87,78.5406,77.5,78.31
TKO,2023-11-22,78.19,79.54,77.89,78.46
TKO,2023-11-24,78.1,79.25,77.5001,78.5
TKO,2023-11-27,78.27,79.26,78.0792,79.23
TKO,2023-11-28,79.23,79.23,77.59,78.18
TKO,2023-11-29,78.0,78.56,76.62,77.68
TKO,2023-11-30,77.41,77.89,76.265,77.33
TKO,2023-12-01,77.06,78.25,76.385,78.24
TKO,2023-12-04,78.23,78.23,75.44,75.5
TKO,2023-12-05,75.35,75.355,73.43,73.95
TKO,2023-12-06,74.22,74.76,73.155,73.17
TKO,2023-12-07,73.43,73.62,72.34,72.8
TKO,2023-12-08,72.46,73.98,72.335,73.77
TKO,2023-12-11,73.77,74.1,72.87,73.3
TKO,2023-12-12,73.46,74.73,72.625,73.82
TKO,2023-12-13,73.72,73.83,72.3416,73.63
TKO,2023-12-14,74.59,75.3,74.25,75.13
TKO,2023-12-15,75.01,76.17,74.56,75.99
TKO,2023-12-18,76.3,77.6,75.63,76.69
TKO,2023-12-19,75.8,79.44,75.78,79.03
TKO,2023-12-20,78.7,79.78,77.64,77.66
TKO,2023-12-21,77.95,79.22,77.49,79.02
TKO,2023-12-22,79.58,79.79,78.51,78.84
TKO,2023-12-26,78.76,80.02,78.6,79.72
TKO,2023-12-27,79.9,81.0,79.9,80.99
TKO,2023-12-28,81.03,81.85,80.79,81.44
TKO,2023-12-29,81.18,81.83,80.09,81.58
TKO,2024-01-02,81.02,81.5,79.86,80.34
TKO,2024-01-03,79.93,80.27,78.94,79.38
TKO,2024-01-04,79.77,80.0,78.55,78.87
TKO,2024-01-05,78.7,79.34,78.08,78.63
TKO,2024-01-08,79.05,80.25,78.46,80.08
TKO,2024-01-09,80.04,80.515,79.47,80.25
TKO,2024-01-10,80.42,80.76,79.86,80.52
TKO,2024-01-11,80.8,81.785,80.0,81.6
TKO,2024-01-12,81.5,81.62,76.94,77.12
TKO,2024-01-16,77.09,77.66,75.96,76.93
TKO,2024-01-17,76.28,77.44,76.22,76.32
TKO,2024-01-18,77.12,77.16,75.345,75.84
TKO,2024-01-19,76.2,78.08,76.04,77.55
TKO,2024-01-22,77.96,79.135,77.4,77.41
TKO,2024-01-23,95.44,95.92,86.75,89.63
TKO,2024-01-24,89.57,90.26,87.22,87.91
TKO,2024-01-25,88.47,89.5,86.79,87.51
TKO,2024-01-26,87.76,87.77,85.76,86.54
TKO,2024-01-29,85.0,85.34,82.455,82.73
TKO,2024-01-30,82.4,85.97,82.4,85.0
TKO,2024-01-31,85.24,85.5,83.43,83.69
TKO,2024-02-01,84.47,85.79,83.79,85.56
TKO,2024-02-02,85.97,85.97,83.7017,85.09
TKO,2024-02-05,84.86,85.89,84.285,85.55
TKO,2024-02-06,86.93,87.84,86.0,87.17
TKO,2024-02-07,86.46,88.02,85.83,87.3
TKO,2024-02-08,87.62,87.6425,85.44,85.93
TKO,2024-02-09,86.01,86.52,85.73,86.13
TKO,2024-02-12,87.69,87.83,86.71,87.08
TKO,2024-02-13,86.65,88.32,86.015,87.5
TKO,2024-02-14,87.1,87.9,86.2,87.56
TKO,2024-02-15,87.82,88.575,86.61,87.0
TKO,2024-02-16,86.63,87.02,85.63,85.63
TKO,2024-02-20,85.71,86.95,85.5,85.76
TKO,2024-02-21,85.65,85.8435,84.38,85.57
TKO,2024-02-22,85.61,86.29,85.29,86.15
TKO,2024-02-23,86.57,86.8,85.3,85.81
TKO,2024-02-26,86.28,86.4,84.42,84.46
TKO,2024-02-27,84.46,86.64,83.93,86.3
TKO,2024-02-28,83.25,86.7367,82.9,82.93
TKO,2024-02-29,82.41,85.165,82.355,83.73
TKO,2024-03-01,83.71,83.91,81.783,82.31
TKO,2024-03-04,82.34,83.215,81.07,81.67
TKO,2024-03-05,78.85,81.54,78.69,80.58
TKO,2024-03-06,81.0,81.3,78.93,79.29
TKO,2024-03-07,81.25,81.83,80.47,80.61
TKO,2024-03-08,80.24,81.82,80.0,81.39
TKO,2024-03-11,81.86,81.86,80.41,81.3
TKO,2024-03-12,80.5,81.44,80.22,81.28
TKO,2024-03-13,81.3,81.5849,80.11,80.77
TKO,2024-03-14,81.08,81.43,79.32,79.7
TKO,2024-03-15,80.31,80.86,79.44,79.79
TKO,2024-03-18,79.8,81.67,79.65,80.81
TKO,2024-03-19,81.05,81.71,80.03,81.02
TKO,2024-03-20,81.15,87.5,80.885,87.37
TKO,2024-03-21,87.0,87.42,85.4501,86.42
TKO,2024-03-22,86.3,87.5,86.04,86.63
