ticker,date,open,high,low,close
PSQH,2021-07-08,9.65,9.6675,9.65,9.6675
PSQH,2021-07-12,9.65,9.65,9.65,9.65
PSQH,2021-07-13,9.65,9.665,9.63,9.65
PSQH,2021-07-14,9.66,9.7,9.62,9.63
PSQH,2021-07-15,9.61,9.65,9.61,9.63
PSQH,2021-07-16,9.63,9.63,9.63,9.63
PSQH,2021-07-19,9.65,9.65,9.6,9.6
PSQH,2021-07-20,9.61,9.63,9.61,9.63
PSQH,2021-07-21,9.61,9.75,9.6,9.7
PSQH,2021-07-22,9.75,9.75,9.63,9.63
PSQH,2021-07-23,9.63,9.63,9.63,9.63
PSQH,2021-07-26,9.63,9.63,9.62,9.62
PSQH,2021-07-27,9.64,9.64,9.62,9.62
PSQH,2021-07-28,9.62,9.62,9.6,9.6198
PSQH,2021-07-29,9.64,9.64,9.64,9.64
PSQH,2021-08-03,9.64,9.64,9.63,9.63
PSQH,2021-08-04,9.63,9.63,9.63,9.63
PSQH,2021-08-05,9.71,9.71,9.55,9.65
PSQH,2021-08-06,9.6,9.64,9.6,9.61
PSQH,2021-08-09,9.62,9.63,9.6,9.63
PSQH,2021-08-10,9.621,9.65,9.6,9.64
PSQH,2021-08-11,9.6,9.63,9.6,9.63
PSQH,2021-08-12,9.6,9.64,9.6,9.6
PSQH,2021-08-13,9.63,9.64,9.62,9.64
PSQH,2021-08-16,9.59,9.64,9.59,9.63
PSQH,2021-08-20,9.6,9.6,9.6,9.6
PSQH,2021-08-23,9.61,9.64,9.61,9.63
PSQH,2021-08-25,9.61,9.61,9.61,9.61
PSQH,2021-08-30,9.61,9.61,9.61,9.61
PSQH,2021-08-31,9.63,9.63,9.595,9.62
PSQH,2021-09-01,9.6193,9.63,9.6,9.62
PSQH,2021-09-02,9.62,9.63,9.61,9.63
PSQH,2021-09-03,9.63,9.64,9.63,9.64
PSQH,2021-09-07,9.64,9.65,9.625,9.64
PSQH,2021-09-08,9.63,9.63,9.6281,9.63
PSQH,2021-09-09,9.63,9.63,9.6,9.63
PSQH,2021-09-10,9.6158,9.635,9.61,9.63
PSQH,2021-09-13,9.63,9.66,9.62,9.63
PSQH,2021-09-14,9.63,9.635,9.63,9.63
PSQH,2021-09-15,9.63,9.68,9.63,9.67
PSQH,2021-09-16,9.65,9.67,9.63,9.63
