ticker,date,open,high,low,close
ONON,2021-09-15,35.4,38.0,34.5,35.0
ONON,2021-09-16,36.0,40.13,35.9,37.49
ONON,2021-09-17,39.64,40.8,38.15,38.95
ONON,2021-09-20,38.0,38.0,34.35,36.01
ONON,2021-09-21,37.78,39.01,36.01,38.64
ONON,2021-09-22,39.4,39.8,35.55,35.75
ONON,2021-09-23,36.55,37.68,35.84,37.34
ONON,2021-09-24,37.2,37.32,35.6,36.02
ONON,2021-09-27,35.71,35.99,32.92,33.37
ONON,2021-09-28,32.62,33.04,31.85,32.0
ONON,2021-09-29,32.24,33.24,30.31,30.9
ONON,2021-09-30,30.9,32.4,30.06,30.13
ONON,2021-10-01,30.14,30.98,29.8,30.5
ONON,2021-10-04,29.12,30.24,28.1,29.09
ONON,2021-10-05,29.09,31.18,28.93,30.44
ONON,2021-10-06,30.0,30.22,29.22,29.59
ONON,2021-10-07,29.59,30.9694,29.29,29.84
ONON,2021-10-08,30.04,30.42,29.01,30.07
ONON,2021-10-11,30.3,31.62,30.3,30.69
ONON,2021-10-12,31.31,32.5,30.11,30.54
ONON,2021-10-13,30.8,31.35,30.649,30.7
ONON,2021-10-14,31.18,31.22,29.15,29.57
ONON,2021-10-15,29.63,31.06,29.6,29.72
ONON,2021-10-18,29.72,30.52,29.345,30.07
ONON,2021-10-19,30.57,30.9,29.41,29.77
ONON,2021-10-20,30.31,32.5,30.1,31.36
ONON,2021-10-21,31.18,33.85,31.18,33.71
ONON,2021-10-22,33.68,34.08,32.5,33.26
ONON,2021-10-25,33.37,36.2,33.0101,34.98
ONON,2021-10-26,35.24,36.5,34.65,35.58
ONON,2021-10-27,35.9,35.9,33.68,34.0
ONON,2021-10-28,34.36,35.43,32.93,33.7
ONON,2021-10-29,33.36,34.5,33.035,34.16
ONON,2021-11-01,34.45,36.79,34.22,36.58
ONON,2021-11-02,36.77,36.96,35.21,35.41
ONON,2021-11-03,35.41,38.76,35.33,38.45
ONON,2021-11-04,38.65,38.7,36.19,37.63
ONON,2021-11-05,38.08,39.8,37.89,39.19
ONON,2021-11-08,39.48,39.55,36.9,38.24
ONON,2021-11-09,38.21,39.42,37.51,37.85
ONON,2021-11-10,37.43,38.9299,36.91,37.19
ONON,2021-11-11,37.52,37.792,35.55,37.01
ONON,2021-11-12,37.55,37.68,35.85,37.2
ONON,2021-11-15,37.75,38.72,36.1,36.43
